LINE_TYPE,LINE,CAR
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,498
SINGLE,508,500
SINGLE,508,502
SINGLE,508,504
SINGLE,508,506
SINGLE,508,508
SINGLE,507,509
SINGLE,506,510
SINGLE,505,511
SINGLE,504,514
SINGLE,503,513
SINGLE,502,512
SINGLE,501,511
SINGLE,500,510
SINGLE,499,509
SINGLE,498,508
SINGLE,497,507
SINGLE,496,506
SINGLE,495,505
SINGLE,494,502
SINGLE,493,499
SINGLE,492,496
SINGLE,491,493
SINGLE,490,490
SINGLE,489,487
SINGLE,488,484
SINGLE,487,481
SINGLE,486,478
SINGLE,485,475
SINGLE,484,472
SINGLE,483,471
SINGLE,482,470
SINGLE,481,469
SINGLE,480,468
SINGLE,479,467
SINGLE,478,466
SINGLE,477,465
SINGLE,476,464
SINGLE,475,463
SINGLE,474,462
SINGLE,473,461
SINGLE,472,460
SINGLE,471,459
SINGLE,470,458
SINGLE,469,457
SINGLE,468,456
SINGLE,467,455
SINGLE,466,454
SINGLE,465,453
SINGLE,464,452
SINGLE,463,451
SINGLE,462,450
SINGLE,461,449
SINGLE,460,448
SINGLE,459,447
SINGLE,457,445
SINGLE,455,443
SINGLE,453,441
SINGLE,451,439
SINGLE,449,437
SINGLE,447,435
SINGLE,445,433
SINGLE,443,431
SINGLE,441,429
SINGLE,439,427
SINGLE,437,425
SINGLE,435,423
SINGLE,433,421
SINGLE,431,419
SINGLE,429,417
SINGLE,427,415
SINGLE,425,413
SINGLE,423,411
SINGLE,421,409
SINGLE,419,407
SINGLE,417,405
SINGLE,415,403
SINGLE,413,401
SINGLE,411,399
SINGLE,409,397
SINGLE,407,395
SINGLE,405,393
SINGLE,403,391
SINGLE,401,389
SINGLE,399,387
SINGLE,397,385
SINGLE,395,383
SINGLE,393,381
SINGLE,391,379
SINGLE,389,377
SINGLE,387,375
SINGLE,385,373
SINGLE,383,371
SINGLE,381,369
SINGLE,379,367
SINGLE,377,365
SINGLE,375,363
SINGLE,373,361
SINGLE,371,359
SINGLE,369,357
SINGLE,367,355
SINGLE,365,353
SINGLE,363,351
SINGLE,361,349
SINGLE,359,347
SINGLE,357,345
SINGLE,354,342
SINGLE,351,339
SINGLE,348,336
SINGLE,345,333
SINGLE,342,330
SINGLE,339,327
SINGLE,336,324
SINGLE,333,321
SINGLE,330,318
SINGLE,327,315
SINGLE,324,312
SINGLE,321,309
SINGLE,318,306
SINGLE,315,303
INTERRUPT,312,300
INTERRUPT,309,297
INTERRUPT,306,294
INTERRUPT,303,291
INTERRUPT,300,288
INTERRUPT,297,285
INTERRUPT,294,282
INTERRUPT,291,279
INTERRUPT,288,276
INTERRUPT,285,273
INTERRUPT,282,270
INTERRUPT,279,267
INTERRUPT,276,264
INTERRUPT,273,261
INTERRUPT,270,258
INTERRUPT,267,255
INTERRUPT,264,252
INTERRUPT,261,249
INTERRUPT,258,246
INTERRUPT,255,243
INTERRUPT,252,240
INTERRUPT,249,237
INTERRUPT,246,234
INTERRUPT,243,231
INTERRUPT,240,228
INTERRUPT,237,225
INTERRUPT,234,222
INTERRUPT,231,219
INTERRUPT,228,216
INTERRUPT,225,213
INTERRUPT,222,210
INTERRUPT,219,207
INTERRUPT,216,204
INTERRUPT,213,201
INTERRUPT,210,198
INTERRUPT,206,194
INTERRUPT,202,190
INTERRUPT,198,186
INTERRUPT,194,182
INTERRUPT,190,178
INTERRUPT,186,174
INTERRUPT,182,170
INTERRUPT,178,166
INTERRUPT,174,162
INTERRUPT,170,158
INTERRUPT,166,154
INTERRUPT,162,150
INTERRUPT,158,146
INTERRUPT,154,142
INTERRUPT,150,138
INTERRUPT,146,134
INTERRUPT,142,130
INTERRUPT,138,126
INTERRUPT,134,122
INTERRUPT,130,118
INTERRUPT,126,114
INTERRUPT,122,110
INTERRUPT,118,106
INTERRUPT,114,102
INTERRUPT,110,98
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,102
DOUBLE,110,104
DOUBLE,110,106
DOUBLE,110,108
DOUBLE,110,110
DOUBLE,110,112
DOUBLE,110,114
DOUBLE,110,116
DOUBLE,110,118
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,124
DOUBLE,110,126
DOUBLE,110,126
DOUBLE,110,126
DOUBLE,110,126
DOUBLE,110,126
DOUBLE,110,126
DOUBLE,110,126
DOUBLE,110,126
DOUBLE,110,128
DOUBLE,110,126
DOUBLE,110,124
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,120
DOUBLE,110,118
DOUBLE,110,116
DOUBLE,110,114
DOUBLE,110,112
DOUBLE,110,110
DOUBLE,110,108
DOUBLE,110,106
DOUBLE,110,104
DOUBLE,110,102
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,111,101
DOUBLE,112,102
DOUBLE,113,103
DOUBLE,114,104
DOUBLE,115,105
DOUBLE,116,106
DOUBLE,117,107
DOUBLE,118,108
DOUBLE,119,109
DOUBLE,120,110
DOUBLE,121,111
DOUBLE,122,112
DOUBLE,123,113
DOUBLE,124,114
DOUBLE,125,115
DOUBLE,126,116
DOUBLE,127,117
DOUBLE,128,118
DOUBLE,129,119
DOUBLE,130,120
DOUBLE,131,121
DOUBLE,132,122
DOUBLE,133,123
DOUBLE,134,124
